Net Status Report
Filename     : C:\Users\040602.AMER\Desktop\BD-Z7MB-7Z0X0,G-01-02\Design\Z7MB-7Z0X0-PCB-G.PcbDoc
Date         : 5/2/2018
Time         : 9:47:16 AM
Time Elapsed : 00:00:00

Nets, Layer, Length
    NetNT2_2, Signal Layers Only, 1439.946mils
    NetNT3_2, Signal Layers Only, 1993.555mils
    NetNT4_2, Signal Layers Only, 85.606mils
    NetNT5_2, Signal Layers Only, 299.396mils
    NetNT6_2, Signal Layers Only, 18.5mils
    NetQ1_1, Signal Layers Only, 78.252mils
    NetQ2_3, Signal Layers Only, 147.527mils
    NetQ3_3, Signal Layers Only, 76.077mils
    NetQ4_3, Signal Layers Only, 227.804mils
    NetQ5_3, Signal Layers Only, 54.264mils
    NetQ6_3, Signal Layers Only, 591.826mils
    NetQ7_3, Signal Layers Only, 965.903mils
    NetQ8_3, Signal Layers Only, 884.786mils
    NetR100_2, Signal Layers Only, 129.882mils
    NetR101_1, Signal Layers Only, 79.324mils
    NetR102_1, Signal Layers Only, 184.412mils
    NetR103_2, Signal Layers Only, 200.732mils
    NetR107_1, Signal Layers Only, 166.213mils
    NetR13_1, Signal Layers Only, 56.874mils
    NetR13_2, Signal Layers Only, 319.888mils
    NetR14_1, Signal Layers Only, 1105.542mils
    NetR32_2, Signal Layers Only, 74.951mils
    NetR33_2, Signal Layers Only, 79.663mils
    NetR36_2, Signal Layers Only, 103.766mils
    NetR38_2, Signal Layers Only, 107.672mils
    NetR43_2, Signal Layers Only, 114.18mils
    NetR45_2, Signal Layers Only, 116.086mils
    NetR48_1, Signal Layers Only, 108.446mils
    NetR52_1, Signal Layers Only, 69.18mils
    NetR56_2, Signal Layers Only, 113.48mils
    NetR57_2, Signal Layers Only, 117.464mils
    NetR5_1, Signal Layers Only, 148.213mils
    NetR5_2, Signal Layers Only, 67.522mils
    NetR67_1, Signal Layers Only, 108.079mils
    NetR69_1, Signal Layers Only, 131.515mils
    NetR6_1, Signal Layers Only, 62.414mils
    NetR6_2, Signal Layers Only, 52mils
    NetR72_2, Signal Layers Only, 178.799mils
    NetR74_1, Signal Layers Only, 269.601mils
    NetR75_1, Signal Layers Only, 265.791mils
    NetR76_2, Signal Layers Only, 312.216mils
    NetR79_1, Signal Layers Only, 115.516mils
    NetR85_1, Signal Layers Only, 283.473mils
    NetR8_2, Signal Layers Only, 2032.438mils
    NetR96_1, Signal Layers Only, 54.248mils
    NetR9_1, Signal Layers Only, 717.261mils
    NetRP2_1, Signal Layers Only, 2571.329mils
    NetU11_J1, Signal Layers Only, 0mils
    NetU11_J9, Signal Layers Only, 0mils
    NetU11_L1, Signal Layers Only, 0mils
    NetU11_L9, Signal Layers Only, 0mils
    NetU11_M7, Signal Layers Only, 0mils
    NetU12_J1, Signal Layers Only, 0mils
    NetU12_J9, Signal Layers Only, 0mils
    NetU12_L1, Signal Layers Only, 0mils
    NetU12_L9, Signal Layers Only, 0mils
    NetU12_M7, Signal Layers Only, 0mils
    NetU8_7, Signal Layers Only, 76.11mils
    OTG_CPEN, Signal Layers Only, 1743.203mils
    PB1, Signal Layers Only, 1766.21mils
    PG_1V, Signal Layers Only, 1589.237mils
    PG_1V5, Signal Layers Only, 1242.37mils
    PG_1V8, Signal Layers Only, 4098.188mils
    PG_MODULE, Signal Layers Only, 7451.22mils
    PHY_LED0, Signal Layers Only, 1255.838mils
    PHY_LED0_SW, Signal Layers Only, 62.699mils
    PHY_LED1, Signal Layers Only, 1054.756mils
    PHY_LED1_SW, Signal Layers Only, 139.064mils
    PMOD_D0, Signal Layers Only, 4998.468mils
    PMOD_D1, Signal Layers Only, 4969.05mils
    PMOD_D2, Signal Layers Only, 4928.361mils
    PMOD_D3, Signal Layers Only, 4751.858mils
    PMOD_D4, Signal Layers Only, 5083.206mils
    PMOD_D5, Signal Layers Only, 4962.742mils
    PMOD_D6, Signal Layers Only, 5208.586mils
    PMOD_D7, Signal Layers Only, 4842.323mils
    PROGRAM#, Signal Layers Only, 2536.065mils
    PS_SRST#, Signal Layers Only, 3584.639mils
    QSPI_1_CLK, Signal Layers Only, 1240.257mils
    QSPI_1_CS#, Signal Layers Only, 1382.611mils
    QSPI_1_DQ0, Signal Layers Only, 1136.211mils
    QSPI_1_DQ1, Signal Layers Only, 1017.972mils
    QSPI_1_DQ2, Signal Layers Only, 1133.167mils
    QSPI_1_DQ3, Signal Layers Only, 1246.316mils
    SD1_CLK, Signal Layers Only, 411.531mils
    SD1_CMD, Signal Layers Only, 513.703mils
    SD1_D0, Signal Layers Only, 233.553mils
    SD1_D1, Signal Layers Only, 296.962mils
    SD1_D2, Signal Layers Only, 596.395mils
    SD1_D3, Signal Layers Only, 552.264mils
    SD_CD, Signal Layers Only, 1649.526mils
    SD_CLK, Signal Layers Only, 1256.969mils
    SD_CMD, Signal Layers Only, 1715.93mils
    SD_D0, Signal Layers Only, 1855.116mils
    SD_D1, Signal Layers Only, 2149.716mils
    SD_D2, Signal Layers Only, 1971.555mils
    SD_D3, Signal Layers Only, 1625.985mils
    SD_WP, Signal Layers Only, 808.504mils
